Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C
0,0.000000,0,0,0
1,0.001830,0,0,0
2,0.002805,0,0,0
3,0.003806,0,0,0
4,0.004806,"nan","nan","nan"
5,0.005806,"nan","nan","nan"
6,0.006805,"nan","nan","nan"
7,0.007805,"nan","nan","nan"
8,0.008818,"nan","nan","nan"
9,0.009823,"nan","nan","nan"
10,0.010811,"nan","nan","nan"
11,0.011810,"nan","nan","nan"
12,0.012811,"nan","nan","nan"
13,0.013811,"nan","nan","nan"
14,0.014811,"nan","nan","nan"
15,0.015811,"nan","nan","nan"
16,0.016811,"nan","nan","nan"
17,0.017811,"nan","nan","nan"
18,0.018811,"nan","nan","nan"
19,0.019895,"nan","nan","nan"
20,0.020807,"nan","nan","nan"
21,0.021808,"nan","nan","nan"
22,0.022809,"nan","nan","nan"
23,0.023809,"nan","nan","nan"
24,0.024809,"nan","nan","nan"
25,0.025809,"nan","nan","nan"
26,0.026810,"nan","nan","nan"
27,0.027811,"nan","nan","nan"
28,0.028811,"nan","nan","nan"
29,0.029815,"nan","nan","nan"
30,0.030826,"nan","nan","nan"
31,0.031815,"nan","nan","nan"
32,0.032815,"nan","nan","nan"
33,0.033816,"nan","nan","nan"
34,0.034816,"nan","nan","nan"
35,0.035817,"nan","nan","nan"
36,0.036817,"nan","nan","nan"
37,0.037805,"nan","nan","nan"
38,0.038805,"nan","nan","nan"
39,0.039810,"nan","nan","nan"
40,0.040896,"nan","nan","nan"
41,0.041809,"nan","nan","nan"
42,0.042810,"nan","nan","nan"
43,0.043811,"nan","nan","nan"
44,0.044811,"nan","nan","nan"
45,0.045811,"nan","nan","nan"
46,0.046812,"nan","nan","nan"
47,0.047812,"nan","nan","nan"
48,0.048813,"nan","nan","nan"
49,0.049817,"nan","nan","nan"
50,0.050805,"nan","nan","nan"
51,0.051824,"nan","nan","nan"
52,0.052814,"nan","nan","nan"
53,0.053814,"nan","nan","nan"
54,0.054815,"nan","nan","nan"
55,0.055813,"nan","nan","nan"
56,0.056813,"nan","nan","nan"
57,0.057813,"nan","nan","nan"
58,0.058813,"nan","nan","nan"
59,0.059816,"nan","nan","nan"
60,0.060826,"nan","nan","nan"
61,0.061830,"nan","nan","nan"
62,0.062817,"nan","nan","nan"
63,0.063805,"nan","nan","nan"
64,0.064805,"nan","nan","nan"
65,0.065817,"nan","nan","nan"
66,0.066817,"nan","nan","nan"
67,0.067806,"nan","nan","nan"
68,0.068805,"nan","nan","nan"
69,0.069809,"nan","nan","nan"
70,0.070809,"nan","nan","nan"
71,0.071809,"nan","nan","nan"
72,0.072822,"nan","nan","nan"
73,0.073809,"nan","nan","nan"
74,0.074810,"nan","nan","nan"
75,0.075810,"nan","nan","nan"
76,0.076810,"nan","nan","nan"
77,0.077810,"nan","nan","nan"
78,0.078809,"nan","nan","nan"
79,0.079813,"nan","nan","nan"
80,0.080813,"nan","nan","nan"
81,0.081813,"nan","nan","nan"
82,0.082900,"nan","nan","nan"
83,0.083812,"nan","nan","nan"
84,0.084814,"nan","nan","nan"
85,0.085813,"nan","nan","nan"
86,0.086813,"nan","nan","nan"
87,0.087813,"nan","nan","nan"
88,0.088813,"nan","nan","nan"
89,0.089816,"nan","nan","nan"
90,0.090817,"nan","nan","nan"
91,0.091817,"nan","nan","nan"
92,0.092805,"nan","nan","nan"
93,0.093823,"nan","nan","nan"
94,0.094812,"nan","nan","nan"
95,0.095812,"nan","nan","nan"
96,0.096813,"nan","nan","nan"
97,0.097812,"nan","nan","nan"
98,0.098813,"nan","nan","nan"
99,0.099817,"nan","nan","nan"
100,0.100805,"nan","nan","nan"
101,0.101805,"nan","nan","nan"
102,0.102807,"nan","nan","nan"
103,0.103901,"nan","nan","nan"
104,0.104814,"nan","nan","nan"
105,0.105815,"nan","nan","nan"
106,0.106815,"nan","nan","nan"
107,0.107815,"nan","nan","nan"
108,0.108816,"nan","nan","nan"
109,0.109807,"nan","nan","nan"
110,0.110808,"nan","nan","nan"
111,0.111807,"nan","nan","nan"
112,0.112809,"nan","nan","nan"
113,0.113810,"nan","nan","nan"
114,0.114824,"nan","nan","nan"
115,0.115813,"nan","nan","nan"
116,0.116813,"nan","nan","nan"
117,0.117814,"nan","nan","nan"
