Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug
0,0.000000,0,0,0,0,0,0,0
1,0.001894,0,0,0,0,0,0,0
2,0.002586,0,0,0,0,0,0,0
3,0.003694,0,0,0,0,0,0,0
4,0.004676,0,0,0,0,0,0,-0.0963750035
5,0.005701,0,0,0,0,0,0,-0.136837497
6,0.006684,0,0,0,0,0,0,-0.134271085
7,0.007694,0,0,0,0,0,0,-0.131099984
8,0.008677,0,0,0,0,0,0,-0.129168704
9,0.009700,0,0,0,0,0,0,-0.128046036
10,0.010696,0,0,0,0,0,0,-0.127490565
11,0.011680,0,0,0,0,0,0,-0.127185881
12,0.012689,0,0,0,0,0,0,-0.127066359
13,0.013684,0,0,0,0,0,0,-0.126965597
14,0.014694,0,0,0,0,0,0,-0.126944497
15,0.015682,0,0,0,0,0,0,-0.1269117
16,0.016691,0,0,0,0,0,0,-0.126902342
17,0.017674,0,0,0,0,0,0,-0.126937509
18,0.018697,0,0,0,0,0,0,-0.126900017
19,0.019751,0,0,0,0,0,0,-0.126900017
20,0.020685,0,0,0,0,0,0,-0.126900017
21,0.021694,0,0,0,0,0,0,-0.126900017
22,0.022677,0,0,0,0,0,0,-0.126900017
23,0.023686,0,0,0,0,0,0,-0.126900017
24,0.024682,0,0,0,0,0,0,-0.126900017
25,0.025694,0,0,0,0,0,0,-0.126900017
26,0.026676,0,0,0,0,0,0,-0.126900017
27,0.027699,0,0,0,0,0,0,-0.126900017
28,0.028683,0,0,0,0,0,0,-0.126900017
29,0.029691,0,0,0,0,0,0,-0.126900017
30,0.030694,0,0,0,0,0,0,-0.126900017
31,0.031681,0,0,0,0,0,0,-0.126900017
32,0.032690,0,0,0,0,0,0,-0.126900017
33,0.033685,0,0,0,0,0,0,-0.126900017
34,0.034693,0,0,0,0,0,0,-0.126900017
35,0.035680,0,0,0,0,0,0,-0.126900017
36,0.036689,0,0,0,0,0,0,-0.126900017
37,0.037683,0,0,0,0,0,0,-0.126900017
38,0.038691,0,0,0,0,0,0,-0.126900017
39,0.039675,0,0,0,0,0,0,-0.126900017
40,0.040696,0,0,0,0,0,0,-0.126900017
41,0.041720,0,0,0,0,0,0,-0.126900017
42,0.042681,0,0,0,0,0,0,-0.126900017
43,0.043690,0,0,0,0,0,0,-0.126900017
44,0.044685,0,0,0,0,0,0,-0.126900017
45,0.045697,0,0,0,0,0,0,-0.126900017
46,0.046679,0,0,0,0,0,0,-0.126900017
47,0.047687,0,0,0,0,0,0,-0.126900017
48,0.048683,0,0,0,0,0,0,-0.126900017
49,0.049692,0,0,0,0,0,0,-0.126900017
50,0.050674,0,0,0,0,0,0,-0.126900017
51,0.051697,0,0,0,0,0,0,-0.126900017
52,0.052719,0,0,0,0,0,0,-0.126900017
53,0.053681,0,0,0,0,0,0,-0.126900017
54,0.054690,0,0,0,0,0,0,-0.126900017
55,0.055676,0,0,0,0,0,0,-0.126900017
56,0.056699,0,0,0,0,0,0,-0.126900017
57,0.057681,0,0,0,0,0,0,-0.126900017
58,0.058689,0,0,0,0,0,0,-0.126900017
59,0.059685,0,0,0,0,0,0,-0.126900017
60,0.060690,0,0,0,0,0,0,-0.126900017
61,0.061700,0,0,0,0,0,0,-0.126900017
62,0.062682,0,0,0,0,0,0,-0.126900017
63,0.063697,0,0,0,0,0,0,-0.126900017
64,0.064684,0,0,0,0,0,0,-0.126900017
65,0.065697,0,0,0,0,0,0,-0.126900017
66,0.066681,0,0,0,0,0,0,-0.126900017
67,0.067689,0,0,0,0,0,0,-0.126900017
68,0.068673,0,0,0,0,0,0,-0.126900017
69,0.069694,0,0,0,0,0,0,-0.126900017
70,0.070677,0,0,0,0,0,0,-0.126900017
71,0.071699,0,0,0,0,0,0,-0.126900017
72,0.072682,0,0,0,0,0,0,-0.126900017
73,0.073691,0,0,0,0,0,0,-0.126900017
74,0.074693,0,0,0,0,0,0,-0.126900017
75,0.075678,0,0,0,0,0,0,-0.126900017
76,0.076687,0,0,0,0,0,0,-0.126900017
77,0.077682,0,0,0,0,0,0,-0.126900017
78,0.078691,0,0,0,0,0,0,-0.126900017
79,0.079674,0,0,0,0,0,0,-0.126900017
80,0.080697,0,0,0,0,0,0,-0.126900017
81,0.081679,0,0,0,0,0,0,-0.126900017
82,0.082688,0,0,0,0,0,0,-0.126900017
83,0.083684,0,0,0,0,0,0,-0.126900017
84,0.084694,0,0,0,0,0,0,-0.126900017
85,0.085701,0,0,0,0,0,0,-0.126900017
86,0.086685,0,0,0,0,0,0,-0.126900017
87,0.087694,0,0,0,0,0,0,-0.126900017
88,0.088676,0,0,0,0,0,0,-0.126900017
89,0.089699,0,0,0,0,0,0,-0.126900017
90,0.090683,0,0,0,0,0,0,-0.126900017
91,0.091691,0,0,0,0,0,0,-0.126900017
92,0.092675,0,0,0,0,0,0,-0.126900017
93,0.093696,0,0,0,0,0,0,-0.126900017
94,0.094679,0,0,0,0,0,0,-0.126900017
95,0.095690,0,0,0,0,0,0,-0.126900017
96,0.096693,0,0,0,0,0,0,-0.126900017
97,0.097677,0,0,0,0,0,0,-0.126900017
98,0.098698,0,0,0,0,0,0,-0.126900017
99,0.099680,0,0,0,0,0,0,-0.126900017
100,0.100688,0,0,0,0,0,0,-0.126900017
101,0.101683,0,0,0,0,0,0,-0.126900017
102,0.102692,0,0,0,0,0,0,-0.126900017
103,0.103674,0,0,0,0,0,0,-0.126900017
104,0.104696,0,0,0,0,0,0,-0.126900017
105,0.105682,0,0,0,0,0,0,-0.126900017
106,0.106690,0,0,0,0,0,0,-0.126900017
107,0.107721,0,0,0,0,0,0,-0.126900017
108,0.108680,0,0,0,0,0,0,-0.126900017
109,0.109689,0,0,0,0,0,0,-0.126900017
110,0.110673,0,0,0,0,0,0,-0.126900017
111,0.111694,0,0,0,0,0,0,-0.126900017
112,0.112676,0,0,0,0,0,0,-0.126900017
113,0.113699,0,0,0,0,0,0,-0.126900017
114,0.114682,0,0,0,0,0,0,-0.126900017
115,0.115693,0,0,0,0,0,0,-0.126900017
116,0.116676,0,0,0,0,0,0,-0.126900017
117,0.117694,0,0,0,0,0,0,-0.126900017
118,0.118723,0,0,0,0,0,0,-0.126900017
119,0.119678,0,0,0,0,0,0,-0.126900017
120,0.120686,0,0,0,0,0,0,-0.126900017
121,0.121682,0,0,0,0,0,0,-0.126900017
122,0.122691,0,0,0,0,0,0,-0.126900017
123,0.123673,0,0,0,0,0,0,-0.126900017
124,0.124694,0,0,0,0,0,0,-0.126900017
125,0.125681,0,0,0,0,0,0,-0.126900017
126,0.126690,0,0,0,0,0,0,-0.126900017
127,0.127673,0,0,0,0,0,0,-0.126900017
128,0.128695,0,0,0,0,0,0,-0.126900017
129,0.129724,0,0,0,0,0,0,-0.126900017
130,0.130679,0,0,0,0,0,0,-0.126900017
131,0.131688,0,0,0,0,0,0,-0.126900017
132,0.132683,0,0,0,0,0,0,-0.126900017
133,0.133694,0,0,0,0,0,0,-0.126900017
134,0.134677,0,0,0,0,0,0,-0.126900017
135,0.135689,0,0,0,0,0,0,-0.126900017
136,0.136685,0,0,0,0,0,0,-0.126900017
137,0.137695,0,0,0,0,0,0,-0.126900017
138,0.138678,0,0,0,0,0,0,-0.126900017
139,0.139687,0,0,0,0,0,0,-0.126900017
140,0.140715,0,0,0,0,0,0,-0.126900017
141,0.141687,0,0,0,0,0,0,-0.126900017
142,0.142696,0,0,0,0,0,0,-0.126900017
143,0.143679,0,0,0,0,0,0,-0.126900017
144,0.144688,0,0,0,0,0,0,-0.126900017
145,0.145688,0,0,0,0,0,0,-0.126900017
146,0.146697,0,0,0,0,0,0,-0.126900017
147,0.147681,0,0,0,0,0,0,-0.126900017
148,0.148689,0,0,0,0,0,0,-0.126900017
149,0.149685,0,0,0,0,0,0,-0.126900017
150,0.150694,0,0,0,0,0,0,-0.126900017
151,0.151825,0,0,0,0,0,0,-0.126900017
152,0.152592,0,0,0,0,0,0,-0.126900017
153,0.153687,0,0,0,0,0,0,-0.126900017
154,0.154682,0,0,0,0,0,0,-0.126900017
155,0.155695,0,0,0,0,0,0,-0.126900017
156,0.156678,0,0,0,0,0,0,-0.126900017
157,0.157700,0,0,0,0,0,0,-0.126900017
