Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug
0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.006159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.011149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.016156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.021143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.026226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.031149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.036138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.041157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.046147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.051156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.056147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.061156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.066155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.071164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.076143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.081161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.086138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.091159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.096147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.101154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.106144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.111162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.116140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.121153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.126146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.131161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.136140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.141152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.146140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.151160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.156149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.161146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.166157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.171162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.176153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.181142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.186154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.191142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.196156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.201145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.206153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.211138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.216163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.221148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.226154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.231139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.236164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.241148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.246158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.251147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.256156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.261146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.266159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.271148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.276197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.281139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.286159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.291162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.296137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.301162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.306150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.311164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.316144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.321164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.326144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.331155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0.336147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.341164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.346141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.351160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.356149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0.361159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.366148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.371164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.376143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.381153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.386147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0.391270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0.396138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.401160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.406163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.411148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.416159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.421145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.426156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.431141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.436165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.441140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.446153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.451142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.456160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0.461149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.466153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.471139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.476153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0.481137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.486157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.491143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.496164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.501138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.506159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.511155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.516173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.521160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.526140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.531155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.536146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.541162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.546137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.551155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.556144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.561162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0.566141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0.571160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.576139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0.581158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.586137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0.591163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0.596141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.601161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0.606137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0.611154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.616142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.621164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.626140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0.631187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0.636148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.641149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0.646161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0.651149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0.656159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0.661148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0.666164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0.671154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.676163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.681137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0.686164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0.691136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0.696161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0.701147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0.706156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0.711143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0.716155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.721170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0.726160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0.731136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0.736162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0.741147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.746174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.751156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.756146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0.761153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0.766140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0.771165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0.776143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0.781161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0.786140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0.791158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.796138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0.801155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0.806144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0.811154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0.816140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0.821162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0.826138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0.831152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0.836154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0.841156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0.846149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0.851156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0.856147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0.861236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0.866145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0.871142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0.876164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0.881147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0.886161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0.891146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0.896161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.901149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0.906161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0.911136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0.916162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0.921137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0.926160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0.931144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0.936153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0.941139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0.946154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0.951139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0.956157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0.961143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0.966162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0.971138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0.976158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0.981148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0.986140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0.991160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0.996149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1.001154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1.006158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1.011157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1.016144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1.021163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1.026139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1.031158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1.036138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1.041156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1.046149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
