Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug,cos_p_debug,sin_p_debug
0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.007253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.012252,0,0,0,0,0,0,-0.441405475,0,0,0,0,0,0,0,0,0
3,0.017235,0,0,0,0,0,0,-0.431303889,0,0,0,0,0,0,0,0,0
4,0.022251,0,0,0,0,0,0,-0.430975914,0,0,0,0,0,0,0,0,0
5,0.027234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
6,0.032276,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
7,0.037241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
8,0.042236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
9,0.047252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
10,0.052235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
11,0.057250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
12,0.062232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
13,0.067252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
14,0.072230,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
15,0.077256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
16,0.082235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
17,0.087252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
18,0.092242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
19,0.097253,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
20,0.102230,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
21,0.107254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
22,0.112234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
23,0.117249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
24,0.122231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
25,0.127250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
26,0.132233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
27,0.137279,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
28,0.142234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
29,0.147240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
30,0.152251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
31,0.157233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
32,0.162250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
33,0.167231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
34,0.172247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
35,0.177233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
36,0.182256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
37,0.187240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
38,0.192250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
39,0.197235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
40,0.202249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
41,0.207242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
42,0.212255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
43,0.217238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
44,0.222246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
45,0.227248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
46,0.232249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
47,0.237232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
48,0.242240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
49,0.247248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
50,0.252242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
51,0.257252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
52,0.262235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
53,0.267256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
54,0.272235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
55,0.277245,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
56,0.282255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
57,0.287249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
58,0.292242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
