Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C
0,0.000000,0,0,0
1,0.001749,0,0,0
2,0.002753,0,0,0
3,0.003728,0,0,0
4,0.004728,"nan","nan","nan"
5,0.005727,"nan","nan","nan"
6,0.006731,"nan","nan","nan"
7,0.007732,"nan","nan","nan"
8,0.008731,"nan","nan","nan"
9,0.009731,"nan","nan","nan"
10,0.010730,"nan","nan","nan"
11,0.011732,"nan","nan","nan"
12,0.012744,"nan","nan","nan"
13,0.013732,"nan","nan","nan"
14,0.014733,"nan","nan","nan"
15,0.015732,"nan","nan","nan"
16,0.016736,"nan","nan","nan"
17,0.017736,"nan","nan","nan"
18,0.018736,"nan","nan","nan"
19,0.019736,"nan","nan","nan"
20,0.020735,"nan","nan","nan"
21,0.021736,"nan","nan","nan"
22,0.022876,"nan","nan","nan"
23,0.023737,"nan","nan","nan"
24,0.024738,"nan","nan","nan"
25,0.025737,"nan","nan","nan"
26,0.026729,"nan","nan","nan"
27,0.027729,"nan","nan","nan"
28,0.028730,"nan","nan","nan"
29,0.029729,"nan","nan","nan"
30,0.030731,"nan","nan","nan"
31,0.031732,"nan","nan","nan"
32,0.032732,"nan","nan","nan"
33,0.033750,"nan","nan","nan"
34,0.034739,"nan","nan","nan"
35,0.035738,"nan","nan","nan"
36,0.036730,"nan","nan","nan"
37,0.037731,"nan","nan","nan"
38,0.038731,"nan","nan","nan"
39,0.039731,"nan","nan","nan"
40,0.040732,"nan","nan","nan"
41,0.041732,"nan","nan","nan"
42,0.042732,"nan","nan","nan"
43,0.043733,"nan","nan","nan"
44,0.044750,"nan","nan","nan"
45,0.045738,"nan","nan","nan"
46,0.046729,"nan","nan","nan"
47,0.047730,"nan","nan","nan"
48,0.048729,"nan","nan","nan"
49,0.049731,"nan","nan","nan"
50,0.050732,"nan","nan","nan"
51,0.051733,"nan","nan","nan"
52,0.052742,"nan","nan","nan"
53,0.053730,"nan","nan","nan"
54,0.054749,"nan","nan","nan"
55,0.055736,"nan","nan","nan"
56,0.056728,"nan","nan","nan"
57,0.057726,"nan","nan","nan"
58,0.058727,"nan","nan","nan"
59,0.059738,"nan","nan","nan"
60,0.060740,"nan","nan","nan"
61,0.061728,"nan","nan","nan"
62,0.062726,"nan","nan","nan"
63,0.063727,"nan","nan","nan"
64,0.064766,"nan","nan","nan"
65,0.065743,"nan","nan","nan"
66,0.066734,"nan","nan","nan"
67,0.067734,"nan","nan","nan"
68,0.068734,"nan","nan","nan"
69,0.069734,"nan","nan","nan"
70,0.070734,"nan","nan","nan"
71,0.071734,"nan","nan","nan"
72,0.072734,"nan","nan","nan"
73,0.073734,"nan","nan","nan"
74,0.074734,"nan","nan","nan"
75,0.075786,"nan","nan","nan"
76,0.076729,"nan","nan","nan"
77,0.077729,"nan","nan","nan"
78,0.078729,"nan","nan","nan"
79,0.079729,"nan","nan","nan"
80,0.080729,"nan","nan","nan"
81,0.081730,"nan","nan","nan"
82,0.082729,"nan","nan","nan"
83,0.083729,"nan","nan","nan"
84,0.084729,"nan","nan","nan"
85,0.085730,"nan","nan","nan"
86,0.086749,"nan","nan","nan"
87,0.087736,"nan","nan","nan"
88,0.088737,"nan","nan","nan"
89,0.089738,"nan","nan","nan"
90,0.090737,"nan","nan","nan"
91,0.091738,"nan","nan","nan"
92,0.092737,"nan","nan","nan"
93,0.093739,"nan","nan","nan"
94,0.094727,"nan","nan","nan"
95,0.095728,"nan","nan","nan"
96,0.096774,"nan","nan","nan"
97,0.097736,"nan","nan","nan"
